extracted_invoice_text,suggested_account
DeWalt Trennscheibe Stahl Ø125x1mm,6100 – Tools & Equipment
Transportkosten Lieferung Baustelle Zürich,4900 – Transport & Freight Costs
Nagel flach 2.5x60mm 2.5kg,4200 – Consumables
Speditionszuschlag Express,4980 – Surcharges & Fees
Entsorgungskosten Bauschutt,4200 – Consumables
Frachtkosten Inland,4900 – Transport & Freight Costs
Bauchemie Kleber 20kg,4200 – Consumables
Maschinenöl 10L,4300 – Operating Supplies
Sicherheitshelm EN397,6500 – IT & Software Expenses
Schrauben M6 Edelstahl 500St,4200 – Consumables
Arbeitshandschuhe Nitril,6500 – IT & Software Expenses
Mietkosten Baugerät,4200 – Consumables
Reinigungskosten Baustelle,4200 – Consumables
Kühlflüssigkeit Konzentrat,6500 – IT & Software Expenses
Edelstahlrohr 12x1.5 mm,3000 – Raw Materials
Montageleistung vor Ort,4200 – Consumables
Servicepauschale Montage,6000 – External Services
Verpackungskosten,4200 – Consumables
Wartungsservice Produktionsanlage Q1,6000 – External Services
Softwarelizenz CAD Tool,6500 – IT & Software Expenses
Schallweiche Trennfugen ISOPE-S-10 Breit,6500 – IT & Software Expenses
Verbrauchsmaterial Werkstatt,4200 – Consumables
Spanplatten 18mm Zuschnitt,6500 – IT & Software Expenses
Weichschaumstoff selbstklebend e=400mm,4200 – Consumables
Serverwartung jährlich,6000 – External Services
IT Support Pauschale,6500 – IT & Software Expenses
Kupferrohr 15mm,3000 – Raw Materials
Versandkosten Ausland,4900 – Transport & Freight Costs
Unterlagscheiben verzinkt 1000St,4200 – Consumables
Aluminiumprofil 40x40mm,3000 – Raw Materials
Dichtungsband EPDM 10m,4200 – Consumables
Schmierfett Kartusche,4300 – Operating Supplies
Holzlatten Fichte 3m,3000 – Raw Materials
Rapido Drahtbinder geschweisst 14cm 1000St,4200 – Consumables
Bearbeitungsgebühr Auftrag,4980 – Surcharges & Fees
Palettenpfand,4980 – Surcharges & Fees
Bohrmaschine Bosch GSB 13,6100 – Tools & Equipment
Projektmanagement Aufwand,6000 – External Services
Schutzbrille EN166,6250 – Safety Equipment (PPE)
