extracted_invoice_text,suggested_account
Edelstahlrohr 12x1.5 mm,3000 – Raw Materials
Schallweiche Trennfugen ISOPE-S-10 Breit,6500 – IT & Software Expenses
Weichschaumstoff selbstklebend e=400mm,4200 – Consumables
Transportkosten Lieferung Baustelle Zürich,4900 – Transport & Freight Costs
Kleinmengenzuschlag,4980 – Surcharges & Fees
Verpackungskosten,4200 – Consumables
Nagel flach 2.5x60mm 2.5kg,4200 – Consumables
Rapido Drahtbinder geschweisst 14cm 1000St,4200 – Consumables
DeWalt Trennscheibe Stahl Ø125x1mm,6100 – Tools & Equipment
Schrauben M6 Edelstahl 500St,4200 – Consumables
Unterlagscheiben verzinkt 1000St,4200 – Consumables
Wartungsservice Produktionsanlage Q1,6000 – External Services
Reparaturkosten Maschine Linie A,6000 – External Services
Frachtkosten Inland,4900 – Transport & Freight Costs
Palettenpfand,4980 – Surcharges & Fees
Sicherheitshelm EN397,6500 – IT & Software Expenses
Schutzbrille EN166,6250 – Safety Equipment (PPE)
Arbeitshandschuhe Nitril,6500 – IT & Software Expenses
Bauchemie Kleber 20kg,4200 – Consumables
Dichtungsband EPDM 10m,4200 – Consumables
Isolationsmaterial Mineralwolle,4200 – Consumables
Holzlatten Fichte 3m,3000 – Raw Materials
Spanplatten 18mm Zuschnitt,6500 – IT & Software Expenses
Aluminiumprofil 40x40mm,3000 – Raw Materials
Kupferrohr 15mm,3000 – Raw Materials
Hydraulikschlauch DN12,4200 – Consumables
Elektrokabel NYM-J 3x1.5,3000 – Raw Materials
LED Baustrahler 50W,4200 – Consumables
Werkzeugkoffer leer,6100 – Tools & Equipment
Bohrmaschine Bosch GSB 13,6100 – Tools & Equipment
Mietkosten Baugerät,4200 – Consumables
Servicepauschale Montage,6000 – External Services
Montageleistung vor Ort,4200 – Consumables
Reinigungskosten Baustelle,4200 – Consumables
Entsorgungskosten Bauschutt,4200 – Consumables
Softwarelizenz CAD Tool,6500 – IT & Software Expenses
IT Support Pauschale,6500 – IT & Software Expenses
Serverwartung jährlich,6000 – External Services
Beratungsleistung Engineering,6000 – External Services
Projektmanagement Aufwand,6000 – External Services
Speditionszuschlag Express,4980 – Surcharges & Fees
Zollgebühren Import,4900 – Transport & Freight Costs
Versandkosten Ausland,4900 – Transport & Freight Costs
Bearbeitungsgebühr Auftrag,4980 – Surcharges & Fees
Energiezuschlag,4980 – Surcharges & Fees
Verbrauchsmaterial Werkstatt,4200 – Consumables
Maschinenöl 10L,4300 – Operating Supplies
Kühlflüssigkeit Konzentrat,6500 – IT & Software Expenses
Schmierfett Kartusche,4300 – Operating Supplies
